"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT590664","mmu","mmu","mmu-miR-466i-5p","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT014141","mmu","mmu","mmu-miR-181a-5p","Apba1","0","0","0","0","1","0","0","0","1","1"
"MIRT012095","mmu","mmu","mmu-let-7b-5p","Apba1","0","0","0","0","1","0","0","0","1","1"
"MIRT011123","mmu","mmu","mmu-miR-26a-5p","Apba1","0","0","0","0","1","0","0","0","1","1"
"MIRT008170","mmu","mmu","mmu-miR-541-5p","Apba1","0","0","0","0","1","0","0","0","1","1"
"MIRT013815","mmu","mmu","mmu-miR-24-3p","Apba1","0","1","1","0","0","0","0","0","2","1"
"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000208","hsa","hsa","hsa-miR-199b-5p","HES1","1","1","1","0","0","0","1","0","4","2"
"MIRT000315","hsa","hsa","hsa-miR-142-3p","ADCY9","0","0","1","1","0","0","1","0","3","1"
"MIRT001112","hsa","hsa","hsa-miR-199b-5p","SET","1","1","1","0","0","0","1","0","4","1"
"MIRT002944","hsa","hsa","hsa-miR-199b-5p","LAMC2","1","0","0","0","0","0","1","0","2","1"
"MIRT006370","hsa","hsa","hsa-miR-142-3p","RAC1","1","1","1","0","1","0","0","0","4","3"
"MIRT006591","hsa","hsa","hsa-miR-886-3p","MCL1","1","1","0","0","0","0","0","0","2","1"
"MIRT006598","hsa","hsa","hsa-miR-886-3p","CXCL12","1","0","1","1","0","0","0","0","3","1"
"MIRT006600","hsa","hsa","hsa-miR-886-3p","CDC6","1","1","1","1","0","0","0","0","4","1"
"MIRT006654","hsa","hsa","hsa-miR-142-3p","ARNTL","1","1","1","1","1","0","0","1","6","6"
"MIRT006790","hsa","hsa","hsa-miR-142-3p","IL6","0","0","1","1","0","0","0","0","2","1"
"MIRT006811","hsa","hsa","hsa-miR-199b-5p","PODXL","1","1","1","0","1","0","0","1","5","3"
"MIRT006812","hsa","hsa","hsa-miR-199b-5p","DDR1","1","1","1","0","0","0","0","0","3","1"
"MIRT007022","hsa","hsa","hsa-miR-199b-5p","HIF1A","1","0","0","0","0","0","0","0","1","1"
"MIRT007152","hsa","hsa","hsa-miR-199b-5p","ERBB2","1","1","1","0","0","0","0","0","3","1"
"MIRT007312","hsa","hsa","hsa-miR-142-5p","NFE2L2","1","0","0","0","0","0","0","0","1","1"
"MIRT021541","hsa","hsa","hsa-miR-142-3p","TNIP3","0","0","0","1","0","0","0","0","1","1"
"MIRT021542","hsa","hsa","hsa-miR-142-3p","VSIG1","0","0","0","1","0","0","0","0","1","1"
"MIRT021543","hsa","hsa","hsa-miR-142-3p","PSMB5","0","0","0","1","1","0","0","0","2","2"
"MIRT021544","hsa","hsa","hsa-miR-142-3p","HOXA13","0","0","0","1","0","0","0","0","1","1"
"MIRT021545","hsa","hsa","hsa-miR-142-3p","NAP1L2","0","0","0","1","0","0","0","0","1","1"
"MIRT021546","hsa","hsa","hsa-miR-142-3p","CLOCK","0","0","0","1","0","0","0","0","1","1"
"MIRT021547","hsa","hsa","hsa-miR-142-3p","ARHGAP12","0","0","0","1","0","0","0","0","1","1"
"MIRT021548","hsa","hsa","hsa-miR-142-3p","IRF2BP1","0","0","0","1","0","0","0","0","1","1"
"MIRT021549","hsa","hsa","hsa-miR-142-3p","KCND3","0","0","0","1","0","0","0","0","1","1"
"MIRT021550","hsa","hsa","hsa-miR-142-3p","MESP2","0","0","0","1","0","0","0","0","1","1"
"MIRT021551","hsa","hsa","hsa-miR-142-3p","CRH","0","0","0","1","0","0","0","0","1","1"
"MIRT021552","hsa","hsa","hsa-miR-142-3p","PITPNC1","0","0","0","1","0","0","0","0","1","1"
"MIRT021553","hsa","hsa","hsa-miR-142-3p","SLC37A3","0","0","0","1","1","0","0","0","2","2"
"MIRT021554","hsa","hsa","hsa-miR-142-3p","PPP2R2C","0","0","0","1","0","0","0","0","1","1"
"MIRT021555","hsa","hsa","hsa-miR-142-3p","ARL14EP","0","0","0","1","0","0","0","0","1","1"
"MIRT021556","hsa","hsa","hsa-miR-142-3p","CDCA4","0","0","0","1","0","0","0","0","1","1"
"MIRT021557","hsa","hsa","hsa-miR-142-3p","SH2D1A","0","0","0","1","0","0","0","0","1","1"
"MIRT021558","hsa","hsa","hsa-miR-142-3p","MROH7","0","0","0","1","0","0","0","0","1","1"
"MIRT021559","hsa","hsa","hsa-miR-142-3p","ETNK2","0","0","0","1","0","0","0","0","1","1"
"MIRT021560","hsa","hsa","hsa-miR-142-3p","PCDHB14","0","0","0","1","0","0","0","0","1","1"
"MIRT021561","hsa","hsa","hsa-miR-142-3p","C2","0","0","0","1","0","0","0","0","1","1"
"MIRT021562","hsa","hsa","hsa-miR-142-3p","FAM209A","0","0","0","1","0","0","0","0","1","1"
"MIRT021563","hsa","hsa","hsa-miR-142-3p","PCDHGA2","0","0","0","1","0","0","0","0","1","1"
"MIRT021564","hsa","hsa","hsa-miR-142-3p","KRTAP4-5","0","0","0","1","0","0","0","0","1","1"
"MIRT021565","hsa","hsa","hsa-miR-142-3p","C4BPB","0","0","0","1","0","0","0","0","1","1"
"MIRT021566","hsa","hsa","hsa-miR-142-3p","ZNF608","0","0","0","1","0","0","0","0","1","1"
"MIRT021567","hsa","hsa","hsa-miR-142-3p","GPC4","0","0","0","1","0","0","0","0","1","1"
"MIRT021568","hsa","hsa","hsa-miR-142-3p","GPD1L","0","0","0","1","0","0","0","0","1","1"
"MIRT021569","hsa","hsa","hsa-miR-142-3p","EVI2B","0","0","0","1","0","0","0","0","1","1"
"MIRT021570","hsa","hsa","hsa-miR-142-3p","ZNF236","0","0","0","1","0","0","0","0","1","1"
"MIRT021571","hsa","hsa","hsa-miR-142-3p","NEFH","0","0","0","1","0","0","0","0","1","1"
"MIRT021572","hsa","hsa","hsa-miR-142-3p","HSFY2","0","0","0","1","0","0","0","0","1","1"
"MIRT021573","hsa","hsa","hsa-miR-142-3p","ZNF701","0","0","0","1","0","0","0","0","1","1"
"MIRT021574","hsa","hsa","hsa-miR-142-3p","UGT2B17","0","0","0","1","0","0","0","0","1","1"
"MIRT021575","hsa","hsa","hsa-miR-142-3p","INSIG2","0","0","0","1","0","0","0","0","1","1"
"MIRT021576","hsa","hsa","hsa-miR-142-3p","TAS2R7","0","0","0","1","0","0","0","0","1","1"
"MIRT021577","hsa","hsa","hsa-miR-142-3p","RGS5","0","0","0","1","0","0","0","0","1","1"
"MIRT021578","hsa","hsa","hsa-miR-142-3p","TPSG1","0","0","0","1","0","0","0","0","1","1"
"MIRT021579","hsa","hsa","hsa-miR-142-3p","ARL6IP6","0","0","0","1","0","0","0","0","1","1"
"MIRT021580","hsa","hsa","hsa-miR-142-3p","PCDHGA10","0","0","0","1","0","0","0","0","1","1"
"MIRT021581","hsa","hsa","hsa-miR-142-3p","SIGLEC10","0","0","0","1","0","0","0","0","1","1"
"MIRT021582","hsa","hsa","hsa-miR-142-3p","MRGPRX1","0","0","0","1","0","0","0","0","1","1"
"MIRT021583","hsa","hsa","hsa-miR-142-3p","AGBL2","0","0","0","1","0","0","0","0","1","1"
"MIRT021584","hsa","hsa","hsa-miR-142-3p","PSMD12","0","0","0","1","0","0","0","0","1","1"
"MIRT021585","hsa","hsa","hsa-miR-142-3p","BMP8A","0","0","0","1","0","0","0","0","1","1"
"MIRT021586","hsa","hsa","hsa-miR-142-3p","C11orf16","0","0","0","1","0","0","0","0","1","1"
"MIRT021587","hsa","hsa","hsa-miR-142-3p","INCENP","0","0","0","1","0","0","0","0","1","1"
"MIRT021588","hsa","hsa","hsa-miR-142-3p","ALAD","0","0","0","1","0","0","0","0","1","1"
"MIRT021589","hsa","hsa","hsa-miR-142-3p","TRIM36","0","0","0","1","0","0","0","0","1","1"
"MIRT021590","hsa","hsa","hsa-miR-142-3p","AGTR2","0","0","0","1","0","0","0","0","1","1"
"MIRT021591","hsa","hsa","hsa-miR-142-3p","TUBAL3","0","0","0","1","0","0","0","0","1","1"
"MIRT021592","hsa","hsa","hsa-miR-142-3p","RNF170","0","0","0","1","0","0","0","0","1","1"
"MIRT021593","hsa","hsa","hsa-miR-142-3p","NCKAP1","0","0","0","1","0","0","0","0","1","1"
"MIRT021594","hsa","hsa","hsa-miR-142-3p","FAM65A","0","0","0","1","0","0","0","0","1","1"
"MIRT021595","hsa","hsa","hsa-miR-142-3p","C7orf31","0","0","0","1","0","0","0","0","1","1"
"MIRT021596","hsa","hsa","hsa-miR-142-3p","CLUAP1","0","0","0","1","0","0","0","0","1","1"
"MIRT021597","hsa","hsa","hsa-miR-142-3p","ENAH","0","0","0","1","0","0","0","0","1","1"
"MIRT021598","hsa","hsa","hsa-miR-142-3p","TMEM136","0","0","0","1","0","0","0","0","1","1"
"MIRT021599","hsa","hsa","hsa-miR-142-3p","CLEC4D","0","0","0","1","0","0","0","0","1","1"
"MIRT021600","hsa","hsa","hsa-miR-142-3p","KCTD12","0","0","0","1","0","0","0","0","1","1"
"MIRT021601","hsa","hsa","hsa-miR-142-3p","ABCC9","0","0","0","1","0","0","0","0","1","1"
"MIRT021602","hsa","hsa","hsa-miR-142-3p","CDC6","0","0","0","1","0","0","0","0","1","1"
"MIRT021603","hsa","hsa","hsa-miR-142-3p","MCFD2","0","0","0","1","0","0","0","0","1","1"
"MIRT021604","hsa","hsa","hsa-miR-142-3p","DOCK10","0","0","0","1","0","0","0","0","1","1"
"MIRT021605","hsa","hsa","hsa-miR-142-3p","DCTN4","0","0","0","1","0","0","0","0","1","1"
"MIRT021606","hsa","hsa","hsa-miR-142-3p","SECISBP2","0","0","0","1","1","0","0","0","2","2"
"MIRT021607","hsa","hsa","hsa-miR-142-3p","KIAA1191","0","0","0","1","1","0","0","1","3","4"
"MIRT021608","hsa","hsa","hsa-miR-142-3p","BRMS1L","0","0","0","1","0","0","0","0","1","1"
"MIRT021609","hsa","hsa","hsa-miR-142-3p","SYT4","0","0","0","1","0","0","0","0","1","1"
"MIRT021610","hsa","hsa","hsa-miR-142-3p","ARF4","0","0","0","1","0","0","0","0","1","1"
"MIRT021611","hsa","hsa","hsa-miR-142-3p","FAM98A","0","0","0","1","0","0","0","0","1","1"
"MIRT021612","hsa","hsa","hsa-miR-142-3p","RRM2B","0","0","0","1","0","0","0","0","1","1"
"MIRT021613","hsa","hsa","hsa-miR-142-3p","UBE2W","0","0","0","1","0","0","0","0","1","1"
"MIRT021614","hsa","hsa","hsa-miR-142-3p","ARL10","0","0","0","1","0","0","0","0","1","1"
"MIRT021615","hsa","hsa","hsa-miR-142-3p","PCMTD2","0","0","0","1","0","0","0","0","1","1"
"MIRT021616","hsa","hsa","hsa-miR-142-3p","CALCOCO2","0","0","0","1","0","0","0","0","1","1"
"MIRT021617","hsa","hsa","hsa-miR-142-3p","MORF4L1","0","0","0","1","1","0","0","1","3","9"
"MIRT021618","hsa","hsa","hsa-miR-142-3p","TSPAN6","0","0","0","1","0","0","0","0","1","1"
"MIRT021619","hsa","hsa","hsa-miR-142-3p","GOLGA5","0","0","0","1","0","0","0","0","1","1"
"MIRT021620","hsa","hsa","hsa-miR-142-3p","YES1","0","0","0","1","0","0","0","0","1","1"
"MIRT021621","hsa","hsa","hsa-miR-142-3p","ARL15","0","0","0","1","1","0","0","1","3","3"
"MIRT021622","hsa","hsa","hsa-miR-142-3p","FAM177A1","0","0","0","1","0","0","0","0","1","1"
"MIRT021623","hsa","hsa","hsa-miR-142-3p","CA5B","0","0","0","1","0","0","0","0","1","1"
"MIRT021624","hsa","hsa","hsa-miR-142-3p","NSFL1C","0","0","0","1","0","0","0","0","1","1"
"MIRT021625","hsa","hsa","hsa-miR-142-3p","MAN1A2","0","0","0","1","0","0","0","0","1","1"
"MIRT021626","hsa","hsa","hsa-miR-142-3p","SKP2","0","0","0","1","0","0","0","0","1","1"
"MIRT021627","hsa","hsa","hsa-miR-142-3p","FBXO3","0","0","0","1","0","0","0","0","1","1"
"MIRT021628","hsa","hsa","hsa-miR-142-3p","EDEM3","0","0","0","1","0","0","0","0","1","1"
"MIRT021629","hsa","hsa","hsa-miR-142-3p","DNAJB4","0","0","0","1","0","0","0","0","1","1"
"MIRT021630","hsa","hsa","hsa-miR-142-3p","CNIH4","0","0","0","1","0","0","0","0","1","1"
"MIRT021631","hsa","hsa","hsa-miR-142-3p","CCNJ","0","0","0","1","0","0","0","0","1","1"
"MIRT021632","hsa","hsa","hsa-miR-142-3p","RPE","0","0","0","1","0","0","0","0","1","1"
"MIRT021633","hsa","hsa","hsa-miR-142-3p","CLIC4","1","1","1","1","1","0","0","0","5","2"
"MIRT021634","hsa","hsa","hsa-miR-142-3p","TGFBR1","1","1","1","1","1","0","0","0","5","3"
"MIRT021635","hsa","hsa","hsa-miR-142-3p","ZCCHC14","0","0","0","1","1","0","0","1","3","3"
"MIRT021636","hsa","hsa","hsa-miR-142-3p","C5orf24","0","0","0","1","0","0","0","0","1","1"
"MIRT021637","hsa","hsa","hsa-miR-142-3p","MORF4L2","0","0","0","1","1","0","0","1","3","3"
"MIRT021638","hsa","hsa","hsa-miR-142-3p","SLC35F5","0","0","0","1","1","0","0","1","3","4"
"MIRT021639","hsa","hsa","hsa-miR-142-3p","TAOK1","0","0","0","1","0","0","0","0","1","1"
"MIRT021640","hsa","hsa","hsa-miR-142-3p","GNAQ","0","0","0","1","0","0","0","0","1","1"
"MIRT021641","hsa","hsa","hsa-miR-142-3p","ITGAV","0","0","0","1","1","0","0","0","2","2"
"MIRT021642","hsa","hsa","hsa-miR-142-3p","ATP2A2","0","0","0","1","1","0","0","0","2","2"
"MIRT021643","hsa","hsa","hsa-miR-142-3p","BOD1","0","0","0","1","1","0","0","0","2","2"
"MIRT021644","hsa","hsa","hsa-miR-142-3p","C9orf72","0","0","0","1","1","0","0","0","2","2"
"MIRT021645","hsa","hsa","hsa-miR-142-3p","PROM1","1","1","0","0","0","0","0","0","2","2"
"MIRT052902","hsa","hsa","hsa-miR-142-3p","ROCK2","1","1","1","0","1","0","0","0","4","2"
"MIRT052995","hsa","hsa","hsa-miR-142-3p","CCNT2","1","1","0","0","1","0","0","1","4","6"
"MIRT052996","hsa","hsa","hsa-miR-142-3p","TAB2","1","1","0","0","1","0","0","0","3","2"
"MIRT053100","hsa","hsa","hsa-miR-199b-5p","SETD2","1","1","1","0","0","0","0","0","3","1"
"MIRT053121","hsa","hsa","hsa-miR-142-3p","HMGA1","1","1","1","0","1","0","0","0","4","2"
"MIRT053242","hsa","hsa","hsa-miR-142-3p","PTPN23","1","1","1","0","0","0","0","0","3","1"
"MIRT053247","hsa","hsa","hsa-miR-142-3p","EGR2","0","1","1","1","0","0","0","0","3","1"
"MIRT053254","hsa","hsa","hsa-miR-199b-5p","JAG1","1","1","1","0","1","0","0","0","4","2"
"MIRT054043","hsa","hsa","hsa-miR-142-5p","TP53INP1","1","1","1","1","1","0","0","1","6","3"
"MIRT054374","hsa","hsa","hsa-miR-142-3p","IL1A","1","1","0","0","0","0","0","0","2","1"
"MIRT054626","hsa","hsa","hsa-miR-199b-5p","KIT","0","1","1","0","1","0","0","0","3","1"
"MIRT054627","hsa","hsa","hsa-miR-199b-5p","GRB10","0","1","1","0","1","0","0","0","3","1"
"MIRT054628","hsa","hsa","hsa-miR-199b-5p","TAF9B","0","1","1","0","1","0","0","0","3","1"
"MIRT054629","hsa","hsa","hsa-miR-199b-5p","NLK","0","1","1","0","1","0","0","0","3","1"
"MIRT054630","hsa","hsa","hsa-miR-199b-5p","CCNL1","0","1","1","0","1","0","0","0","3","1"
"MIRT056479","hsa","hsa","hsa-miR-142-5p","PFKP","0","0","0","0","1","0","0","1","2","8"
"MIRT060553","hsa","hsa","hsa-miR-142-5p","CCND1","0","0","0","0","1","0","0","1","2","12"
"MIRT061184","hsa","hsa","hsa-miR-142-5p","MED17","0","0","0","0","1","0","0","1","2","2"
"MIRT063057","hsa","hsa","hsa-miR-142-5p","ULK1","1","1","1","0","1","0","0","1","5","2"
"MIRT063351","hsa","hsa","hsa-miR-142-5p","ETNK1","0","0","0","0","1","0","0","1","2","3"
"MIRT065862","hsa","hsa","hsa-miR-142-5p","GDF11","0","0","0","0","1","0","0","1","2","2"
"MIRT066166","hsa","hsa","hsa-miR-142-5p","PIP4K2C","0","0","0","0","1","0","0","1","2","2"
"MIRT066518","hsa","hsa","hsa-miR-142-3p","HMGA2","0","0","0","0","1","0","0","1","2","6"
"MIRT066964","hsa","hsa","hsa-miR-142-5p","ATXN7L3B","0","0","0","0","1","0","0","1","2","2"
"MIRT067232","hsa","hsa","hsa-miR-142-5p","FOXJ2","0","0","0","0","1","0","0","1","2","2"
"MIRT069407","hsa","hsa","hsa-miR-142-5p","ZFYVE21","0","0","0","0","1","0","0","1","2","8"
"MIRT071782","hsa","hsa","hsa-miR-199b-5p","RNF11","0","0","0","0","1","0","0","1","2","2"
"MIRT072095","hsa","hsa","hsa-miR-142-5p","CHAC1","0","0","0","0","1","0","0","1","2","4"
"MIRT072249","hsa","hsa","hsa-miR-142-5p","B2M","0","0","0","0","1","0","0","1","2","10"
"MIRT082173","hsa","hsa","hsa-miR-142-5p","ACTN4","0","0","0","0","1","0","0","1","2","6"
"MIRT082803","hsa","hsa","hsa-miR-142-5p","ZNF264","0","0","0","0","1","0","0","1","2","2"
"MIRT084981","hsa","hsa","hsa-miR-142-3p","BACH1","0","0","0","0","1","0","0","1","2","2"
"MIRT088048","hsa","hsa","hsa-miR-142-5p","UBXN2A","0","0","0","0","1","0","0","1","2","4"
"MIRT088831","hsa","hsa","hsa-miR-142-5p","MSH6","0","0","0","0","1","0","0","1","2","2"
"MIRT089340","hsa","hsa","hsa-miR-142-5p","PCBP1","0","0","0","0","1","0","0","1","2","6"
"MIRT090616","hsa","hsa","hsa-miR-142-5p","PLS1","0","0","0","0","1","0","0","1","2","2"
"MIRT090639","hsa","hsa","hsa-miR-142-5p","U2SURP","0","0","0","0","1","0","0","1","2","6"
"MIRT091688","hsa","hsa","hsa-miR-142-5p","TGFBR2","1","1","1","0","1","0","0","1","5","7"
"MIRT096488","hsa","hsa","hsa-miR-142-5p","BRIX1","0","0","0","0","1","0","0","1","2","2"
"MIRT100421","hsa","hsa","hsa-miR-142-3p","HSPA1B","1","1","0","0","1","0","0","1","4","9"
"MIRT107152","hsa","hsa","hsa-miR-142-5p","ZBTB43","0","0","0","0","1","0","0","1","2","2"
"MIRT107700","hsa","hsa","hsa-miR-142-3p","CLTA","0","0","0","0","1","0","0","1","2","2"
"MIRT114042","hsa","hsa","hsa-miR-142-5p","AKAP11","0","0","0","0","1","0","0","1","2","12"
"MIRT115783","hsa","hsa","hsa-miR-142-5p","CAPN15","0","0","0","0","1","0","0","1","2","2"
"MIRT122366","hsa","hsa","hsa-miR-142-5p","RGMB","0","0","0","0","1","0","0","1","2","4"
"MIRT127013","hsa","hsa","hsa-miR-142-3p","FAM208B","0","0","0","0","1","0","0","1","2","5"
"MIRT127801","hsa","hsa","hsa-miR-142-3p","ENTPD1","0","0","0","0","1","0","0","0","1","1"
"MIRT128307","hsa","hsa","hsa-miR-142-3p","RAB39A","0","0","0","0","1","0","0","0","1","1"
"MIRT128862","hsa","hsa","hsa-miR-142-3p","KMT2A","0","0","0","0","1","0","0","1","2","3"
"MIRT134994","hsa","hsa","hsa-miR-142-5p","TWF1","0","0","0","0","1","0","0","1","2","2"
"MIRT136323","hsa","hsa","hsa-miR-142-3p","TMTC3","0","0","0","0","1","0","0","0","1","1"
"MIRT136938","hsa","hsa","hsa-miR-142-3p","FNDC3A","0","0","0","0","1","0","0","0","1","1"
"MIRT141398","hsa","hsa","hsa-miR-142-3p","WHAMM","0","0","0","0","1","0","0","0","1","1"
"MIRT142774","hsa","hsa","hsa-miR-142-3p","NFATC2IP","0","0","0","0","1","0","0","0","1","1"
"MIRT148083","hsa","hsa","hsa-miR-142-3p","CEP192","0","0","0","0","1","0","0","0","1","1"
"MIRT149046","hsa","hsa","hsa-miR-142-3p","TWSG1","0","0","0","0","1","0","0","0","1","1"
"MIRT151995","hsa","hsa","hsa-miR-142-3p","ATF5","0","0","0","0","1","0","0","0","1","1"
"MIRT152171","hsa","hsa","hsa-miR-142-3p","ZNF460","0","0","0","0","1","0","0","0","1","1"
"MIRT152457","hsa","hsa","hsa-miR-142-3p","DTD1","0","0","0","0","1","0","0","0","1","1"
"MIRT153187","hsa","hsa","hsa-miR-142-3p","MANBAL","0","0","0","0","1","0","0","0","1","1"
"MIRT154882","hsa","hsa","hsa-miR-142-3p","GNAS","0","0","0","0","1","0","0","1","2","5"
"MIRT157856","hsa","hsa","hsa-miR-142-3p","ATG16L1","0","0","0","0","1","0","0","0","1","1"
"MIRT159778","hsa","hsa","hsa-miR-142-3p","PNO1","0","0","0","0","1","0","0","0","1","1"
"MIRT160145","hsa","hsa","hsa-miR-142-3p","TET3","0","0","0","0","1","0","0","0","1","1"
"MIRT160565","hsa","hsa","hsa-miR-142-3p","TFG","0","0","0","0","1","0","0","0","1","1"
"MIRT161242","hsa","hsa","hsa-miR-142-3p","U2SURP","0","0","0","0","1","0","0","0","1","1"
"MIRT162814","hsa","hsa","hsa-miR-142-3p","DAG1","0","0","0","0","1","0","0","0","1","1"
"MIRT165080","hsa","hsa","hsa-miR-142-3p","APC","1","0","0","0","1","0","0","0","2","2"
"MIRT165495","hsa","hsa","hsa-miR-142-3p","RBM27","0","0","0","0","1","0","0","0","1","1"
"MIRT166752","hsa","hsa","hsa-miR-142-3p","PAPD7","0","0","0","0","1","0","0","0","1","1"
"MIRT167069","hsa","hsa","hsa-miR-142-3p","SCAMP1","0","0","0","0","1","0","0","1","2","3"
"MIRT167643","hsa","hsa","hsa-miR-142-3p","MARCKS","0","0","0","0","1","0","0","0","1","1"
"MIRT170275","hsa","hsa","hsa-miR-142-3p","MKLN1","0","0","0","0","1","0","0","0","1","1"
"MIRT172913","hsa","hsa","hsa-miR-142-3p","RAB2A","0","0","1","1","1","0","0","0","3","2"
"MIRT173258","hsa","hsa","hsa-miR-142-3p","DPY19L4","0","0","0","0","1","0","0","0","1","1"
"MIRT173362","hsa","hsa","hsa-miR-142-3p","TNKS","0","0","0","0","1","0","0","0","1","1"
"MIRT176511","hsa","hsa","hsa-miR-142-3p","SCD","0","0","0","0","1","0","0","1","2","2"
"MIRT177101","hsa","hsa","hsa-miR-142-3p","INPP5A","0","0","0","0","1","0","0","0","1","1"
"MIRT177133","hsa","hsa","hsa-miR-142-3p","STAM","0","0","0","0","1","0","0","0","1","1"
"MIRT179440","hsa","hsa","hsa-miR-142-3p","TBRG1","0","0","0","0","1","0","0","1","2","2"
"MIRT179576","hsa","hsa","hsa-miR-142-5p","CAPZA1","0","0","0","0","1","0","0","1","2","8"
"MIRT184833","hsa","hsa","hsa-miR-142-3p","FLVCR1","0","0","0","0","1","0","0","1","2","2"
"MIRT187475","hsa","hsa","hsa-miR-142-5p","PCBP2","0","0","0","0","1","0","0","1","2","4"
"MIRT187980","hsa","hsa","hsa-miR-142-3p","MBD6","0","0","0","0","1","0","0","1","2","2"
"MIRT193928","hsa","hsa","hsa-miR-142-5p","SMAD3","1","1","1","0","0","0","0","0","3","2"
"MIRT195286","hsa","hsa","hsa-miR-142-5p","LEPROT","0","0","0","0","1","0","0","1","2","2"
"MIRT197415","hsa","hsa","hsa-miR-142-3p","KAT7","0","0","0","0","1","0","0","1","2","2"
"MIRT198832","hsa","hsa","hsa-miR-142-3p","C18ORF25","0","0","1","1","0","0","0","0","2","1"
"MIRT201022","hsa","hsa","hsa-miR-142-5p","ZNF805","0","0","0","0","1","0","0","1","2","2"
"MIRT203665","hsa","hsa","hsa-miR-142-3p","DIP2A","0","0","0","0","1","0","0","0","1","1"
"MIRT206182","hsa","hsa","hsa-miR-142-5p","RAB10","0","0","0","0","1","0","0","1","2","2"
"MIRT206479","hsa","hsa","hsa-miR-142-3p","EML4","0","0","0","0","1","0","0","0","1","1"
"MIRT208842","hsa","hsa","hsa-miR-142-3p","TIPARP","0","0","1","1","0","0","0","0","2","1"
"MIRT209673","hsa","hsa","hsa-miR-142-3p","KAT2B","0","0","1","1","0","0","0","0","2","1"
"MIRT213233","hsa","hsa","hsa-miR-142-5p","REST","0","0","0","0","1","0","0","1","2","6"
"MIRT213721","hsa","hsa","hsa-miR-142-3p","AFF1","0","0","0","0","1","0","0","1","2","10"
"MIRT215342","hsa","hsa","hsa-miR-142-5p","CREBRF","0","0","0","0","1","0","0","1","2","2"
"MIRT220432","hsa","hsa","hsa-miR-142-5p","MKLN1","0","0","0","0","1","0","0","1","2","2"
"MIRT222459","hsa","hsa","hsa-miR-142-5p","RAC1","1","1","0","0","0","0","0","0","2","1"
"MIRT227686","hsa","hsa","hsa-miR-142-3p","TBC1D13","0","0","0","0","1","0","0","1","2","2"
"MIRT235432","hsa","hsa","hsa-miR-142-3p","TSEN34","0","0","0","0","1","0","0","1","2","2"
"MIRT235495","hsa","hsa","hsa-miR-199b-5p","ZNF544","0","0","0","0","1","0","0","1","2","2"
"MIRT237292","hsa","hsa","hsa-miR-142-3p","LPP","1","0","0","0","0","0","0","0","1","1"
