ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-199b-5p,MIMAT0000263,SNTB1,6641,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TFDP2,7029,HITS-CLIP,23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TUBG1,7283,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,VASP,7408,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF195,7748,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF215,7762,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PAX8,7849,PAR-CLIP,23446348,Unspecified
hsa-mir-199b-5p,MIMAT0000263,AKAP17A,8227,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TSC22D1,8848,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CRIPT,9419,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,OXSR1,9943,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TRIM10,10107,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,VAV3,10451,HITS-CLIP//PAR-CLIP,20371350|23706177|21572407|26701625|27292025,Unspecified
hsa-mir-199b-5p,MIMAT0000263,RER1,11079,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,DDX19B,11269,PAR-CLIP,23446348,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PLXND1,23129,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SIRT1,23411,Luciferase reporter assay,27145368,Unspecified
hsa-mir-199b-5p,MIMAT0000263,POLA2,23649,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,RNF11,26994,PAR-CLIP,23446348,Unspecified
hsa-mir-199b-5p,MIMAT0000263,RNF115,27246,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF544,27300,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SETD2,29072,Luciferase reporter assay//qRT-PCR//Western blot,23594994,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TMOD2,29767,PAR-CLIP,21572407,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PDE11A,50940,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZDHHC9,51114,PAR-CLIP,27292025,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF117,51351,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TAF9B,51616,ChIP-seq//Flow//qRT-PCR//Western blot,24608802,Unspecified
hsa-mir-199b-5p,MIMAT0000263,NLK,51701,ChIP-seq//Flow//qRT-PCR//Western blot,24608802,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SLC38A2,54407,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-199b-5p,MIMAT0000263,LAX1,54900,HITS-CLIP,19536157,Unspecified
hsa-mir-199b-5p,MIMAT0000263,VPS53,55275,HITS-CLIP,23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF415,55786,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CSGALNACT1,55790,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PLGRKT,55848,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CCNL1,57018,ChIP-seq//Flow//qRT-PCR//Western blot,24608802|26043836,Unspecified
hsa-mir-199b-5p,MIMAT0000263,AGTRAP,57085,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,RIC8A,60626,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,C16orf58,64755,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PLEKHG2,64857,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CENPO,79172,HITS-CLIP,19536157,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PANK3,79646,HITS-CLIP,19536157,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PTCD2,79810,HITS-CLIP,23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF669,79862,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,C3orf36,80111,PAR-CLIP,22012620|20371350|27292025,Unspecified
hsa-mir-199b-5p,MIMAT0000263,NAA15,80155,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,DDHD1,80821,HITS-CLIP,27418678,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF611,81856,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SESN2,83667,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF394,84124,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,DDI2,84301,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZBTB37,84614,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CHRFAM7A,89832,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF468,90333,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF625,90589,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TNFRSF13C,115650,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SLC16A10,117247,PAR-CLIP,22291592,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF440,126070,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CHCHD4,131474,HITS-CLIP,19536157,Unspecified
hsa-mir-199b-5p,MIMAT0000263,XRRA1,143570,HITS-CLIP,27418678,Unspecified
hsa-mir-199b-5p,MIMAT0000263,A2ML1,144568,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CEP120,153241,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SNRNP48,154007,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,TBC1D21,161514,HITS-CLIP,19536157,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZFP1,162239,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF846,162993,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF791,163049,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF525,170958,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PLPP4,196051,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF584,201514,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,DYNAP,284254,PAR-CLIP,23446348|26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF844,284391,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF772,400720,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,C1orf226,400793,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ZNF286B,729288,PAR-CLIP,20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PSAPL1,768239,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,ACTC1,70,HITS-CLIP,27418678,Unspecified
hsa-mir-142-5p,MIMAT0000433,ACTN4,81,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,RHOC,389,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZFHX3,463,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,ATP5G3,518,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,B2M,567,PAR-CLIP,23592263|24398324|23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,BAAT,570,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,CCND1,595,HITS-CLIP//PAR-CLIP,23592263|24398324|23446348|22012620|21572407|20371350|26701625|27292025,Unspecified
hsa-mir-142-5p,MIMAT0000433,CALM1,801,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,CAPZA1,829,PAR-CLIP,24398324|23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SCARB2,950,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,CD47,961,PAR-CLIP,27292025,Unspecified
hsa-mir-142-5p,MIMAT0000433,KLF6,1316,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,CRK,1398,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,CSE1L,1434,PAR-CLIP,22012620|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,CD55,1604,HITS-CLIP//PAR-CLIP,23446348|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,DDX5,1655,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,DHODH,1723,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,DSPP,1834,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,DUSP2,1844,PAR-CLIP,23592263|22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,EFNA5,1946,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,ELK4,2005,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ERH,2079,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,FOXO3,2309,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,GLO1,2739,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,MSH6,2956,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,GTF2B,2959,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,HIF1A,3091,Luciferase reporter assay//Western blot,28069592,Unspecified
hsa-mir-142-5p,MIMAT0000433,HOXA10,3206,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,HSPA8,3312,PAR-CLIP,23592263|23446348|20371350|26701625,Unspecified
hsa-mir-142-5p,MIMAT0000433,LRPAP1,4043,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SMAD3,4088,Luciferase reporter assay//qRT-PCR//Western blot,27683030|26572508,Unspecified
hsa-mir-142-5p,MIMAT0000433,MAT2A,4144,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,MCAM,4162,HITS-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,MKLN1,4289,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,NARS,4677,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,NFE2L2,4780,Luciferase reporter assay,23236440,Unspecified
hsa-mir-142-5p,MIMAT0000433,PEBP1,5037,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,PCBP1,5093,PAR-CLIP,23592263|23446348|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PCBP2,5094,PAR-CLIP,23446348|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PDE4D,5144,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,PFKP,5214,HITS-CLIP//PAR-CLIP,23446348|22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PLS1,5357,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,PRKCB,5579,HITS-CLIP,24906430|27418678,Unspecified
hsa-mir-142-5p,MIMAT0000433,MAPK1,5594,PAR-CLIP,23446348|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,MAP2K1,5604,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PTEN,5728,Luciferase reporter assay//qRT-PCR//Western blot,27796281,Unspecified
hsa-mir-142-5p,MIMAT0000433,TWF1,5756,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PTPN4,5775,PAR-CLIP,24398324|23446348|21572407|20371350|26701625,Unspecified
hsa-mir-142-5p,MIMAT0000433,PVR,5817,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PEX2,5828,PAR-CLIP,22100165,Unspecified
hsa-mir-142-5p,MIMAT0000433,RAC1,5879,Luciferase reporter assay//Western blot,25530132,Unspecified
hsa-mir-142-5p,MIMAT0000433,REST,5978,PAR-CLIP,22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ROBO1,6091,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,ATXN1,6310,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SCD,6319,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,TRAPPC2,6399,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SRSF7,6432,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SLC6A4,6532,HITS-CLIP,23824327,Unspecified
hsa-mir-142-5p,MIMAT0000433,SNRPD3,6634,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SOD2,6648,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,CAPN15,6650,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,SON,6651,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,TAF13,6884,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZEB1,6935,Luciferase reporter assay//qRT-PCR,23342264,Unspecified
hsa-mir-142-5p,MIMAT0000433,TFAM,7019,HITS-CLIP//PAR-CLIP,23592263|23446348|20371350|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,TGFB2,7042,Western blot,25586666,Unspecified
hsa-mir-142-5p,MIMAT0000433,TGFBR2,7048,Luciferase reporter assay//PAR-CLIP//qRT-PCR//Western blot,22012620|21572407|20371350|26572508,Unspecified
hsa-mir-142-5p,MIMAT0000433,TNS1,7145,PAR-CLIP,27292025,Unspecified
hsa-mir-142-5p,MIMAT0000433,UBE2H,7328,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,YY1,7528,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZNF711,7552,PAR-CLIP,23446348,Unspecified
hsa-mir-142-5p,MIMAT0000433,PTP4A1,7803,PAR-CLIP,23592263|21572407|27292025,Unspecified
hsa-mir-142-5p,MIMAT0000433,SEM1,7979,PAR-CLIP,22100165,Unspecified
hsa-mir-142-5p,MIMAT0000433,ULK1,8408,HITS-CLIP//PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SEMA7A,8482,PAR-CLIP,22291592,Unspecified
hsa-mir-142-5p,MIMAT0000433,DEGS1,8560,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SOCS1,8651,ChIP-seq//ELISA//EMSA//Immunofluorescence//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,26436920,Unspecified
hsa-mir-142-5p,MIMAT0000433,TNFRSF10A,8797,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,CDKL2,8999,PAR-CLIP,27292025,Unspecified
hsa-mir-142-5p,MIMAT0000433,CLDN1,9076,Luciferase reporter assay//qRT-PCR,27277258,Unspecified
hsa-mir-142-5p,MIMAT0000433,DDX21,9188,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,RPS6KA5,9252,PAR-CLIP,22012620|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,AIMP1,9255,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,TRIP10,9322,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,PPIG,9360,PAR-CLIP,23446348|22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZNF264,9422,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,MED17,9440,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SPTLC2,9517,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,BAG2,9532,PAR-CLIP,22100165,Unspecified
hsa-mir-142-5p,MIMAT0000433,BZW1,9689,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,LAPTM4A,9741,PAR-CLIP,23592263|24398324|23446348|22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,EFCAB14,9813,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,TRIM66,9866,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,RBM8A,9939,PAR-CLIP,23446348|22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,TSPAN3,10099,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,GDF11,10220,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,RCAN2,10231,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,DLC1,10395,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SIVA1,10572,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,IGF2BP3,10643,Microarray//qRT-PCR,28296904,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZNF275,10838,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,RAB10,10890,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,KIF2C,11004,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,FGFR1OP,11116,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,KIF3A,11127,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,AKAP11,11215,HITS-CLIP//PAR-CLIP,23592263|24398324|23446348|22012620|21572407|20371350|26701625,Unspecified
hsa-mir-142-5p,MIMAT0000433,RRAS2,22800,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZBTB43,23099,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ANKRD28,23243,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,U2SURP,23350,HITS-CLIP//PAR-CLIP,22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,KIAA0895,23366,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,PPWD1,23398,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,FRAT2,23401,PAR-CLIP,24398324|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SIRT1,23411,Immunofluorescence//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot,23752207,Unspecified
hsa-mir-142-5p,MIMAT0000433,RYBP,23429,HITS-CLIP,19536157,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZFYVE26,23503,PAR-CLIP,23592263|22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZNF281,23528,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SMUG1,23583,PAR-CLIP,23446348,Unspecified
hsa-mir-142-5p,MIMAT0000433,PRKD3,23683,PAR-CLIP,23446348,Unspecified
hsa-mir-142-5p,MIMAT0000433,FJX1,24147,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SLC24A2,25769,HITS-CLIP//PAR-CLIP,23446348|20371350|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,ATL3,25923,PAR-CLIP,23592263,Unspecified
hsa-mir-142-5p,MIMAT0000433,TMEM98,26022,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,SZRD1,26099,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ZBTB20,26137,PAR-CLIP,22291592,Unspecified
hsa-mir-142-5p,MIMAT0000433,SNX5,27131,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,PRELID1,27166,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SIGLEC9,27180,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SLCO1B3,28234,HITS-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SNX24,28966,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,PDZRN4,29951,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,RLIM,51132,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,CERCAM,51148,HITS-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,GDE1,51573,PAR-CLIP,22012620|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SLC38A2,54407,PAR-CLIP,23592263|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,RRN3,54700,PAR-CLIP,21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,LEPROT,54741,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,BCOR,54880,PAR-CLIP,20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,RETSAT,54884,PAR-CLIP,27292025,Unspecified
hsa-mir-142-5p,MIMAT0000433,DNAJC28,54943,PAR-CLIP,21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,FIGN,55137,HITS-CLIP//PAR-CLIP,23446348|21572407|20371350|23706177,Unspecified
hsa-mir-142-5p,MIMAT0000433,MTPAP,55149,PAR-CLIP,22012620|21572407,Unspecified
hsa-mir-142-5p,MIMAT0000433,SDAD1,55153,HITS-CLIP,19536157,Unspecified
hsa-mir-142-5p,MIMAT0000433,ADI1,55256,HITS-CLIP,19536157,Unspecified
hsa-mir-142-5p,MIMAT0000433,BRIX1,55299,PAR-CLIP,23446348,Unspecified
hsa-mir-142-5p,MIMAT0000433,ACER3,55331,HITS-CLIP//PAR-CLIP,23446348|22012620|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,ETNK1,55500,PAR-CLIP,22012620,Unspecified
hsa-mir-142-5p,MIMAT0000433,NAGK,55577,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-142-5p,MIMAT0000433,TSR1,55720,PAR-CLIP,22100165|23446348|21572407,Unspecified
