"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Gene.ID","condition"
"A_23_P154358",5.55796786263666e-14,7.59246435762844e-17,-14.6176939586631,28.2985821773806,-3.98364705882353,"PROM2","prominin 2","150696",TRUE
"A_24_P259607",5.55796786263666e-14,7.65482290291011e-17,-14.6138808288533,28.2905900746564,-4.25740583576471,"SUSD4","sushi domain containing 4","55061",TRUE
"A_23_P31143",5.55796786263666e-14,7.69474969657688e-17,-14.611456014448,28.2855069513155,-3.89064705882353,"TPD52L1","tumor protein D52-like 1","7164",TRUE
"A_23_P212241",5.55796786263666e-14,7.84700445339608e-17,-14.6023260078632,28.2663618410623,-3.89340126047059,"CHL1","cell adhesion molecule L1 like","10752",TRUE
"A_23_P206371",6.25168178112017e-14,9.06484629529358e-17,14.5352254244331,28.1253674631334,2.94306225488235,"NOL3","nucleolar protein 3","8996",TRUE
"A_23_P115091",6.25168178112017e-14,9.19419051285395e-17,-14.5286478546276,28.1115190582816,-3.65426862747059,"RAB25","RAB25, member RAS oncogene family","57111",TRUE
"A_24_P125273",7.85276916756119e-14,1.21904361244234e-16,-14.3981308669316,27.8357142286738,-2.31049803923529,"ARL4D","ADP ribosylation factor like GTPase 4D","379",TRUE
"A_23_P57110",7.85276916756119e-14,1.22725615729607e-16,-14.3950343913471,27.8291473128565,-3.32146666664706,"SLC52A3","solute carrier family 52 member 3","113278",TRUE
"A_32_P183765",7.85276916756119e-14,1.24727788413526e-16,-14.3875732958395,27.813319543684,-6.23162941176471,"ERBB4","erb-b2 receptor tyrosine kinase 4","2066",TRUE
"A_24_P914434",9.67293443617278e-14,1.56483144299519e-16,-14.2832864828889,27.5914218059678,-3.33122941176471,"GSTM3","glutathione S-transferase mu 3","2947",TRUE
"A_23_P1682",1.01869968846994e-13,1.67795701377483e-16,-14.2513014356184,27.5231151326037,-3.63751633988235,"TMEM45B","transmembrane protein 45B","120224",TRUE
"A_23_P89380",1.06449558591985e-13,1.78470052348467e-16,-14.2230817420213,27.4627518734543,-4.97261108776471,"SLC4A1","solute carrier family 4 member 1 (Diego blood group)","6521",TRUE
"A_23_P146077",1.09176065761674e-13,1.86252479974619e-16,14.2035748128397,27.4209719428283,2.59263153594118,"ZNF395","zinc finger protein 395","55893",TRUE
"A_23_P166269",1.12190160702414e-13,1.9469437853528e-16,-14.1833357441571,27.3775774617325,-4.96602941176471,"FAM3B","family with sequence similarity 3 member B","54097",TRUE
"A_24_P200162",1.23880055434716e-13,2.18624722809664e-16,-14.1305024262485,27.2640744350094,-2.77337058823529,"HIGD1A","HIG1 hypoxia inducible domain family member 1A","25994",TRUE
"A_32_P130630",1.34583023946597e-13,2.41471982491395e-16,-14.0853119683013,27.1667337826753,-2.66067647058824,"SLC16A7","solute carrier family 16 member 7","9194",TRUE
"A_32_P225816",1.38947784370568e-13,2.53390276809671e-16,-14.0634445971681,27.1195459932599,-5.59505735294118,"PRDM16","PR/SET domain 16","63976",TRUE
"A_24_P46130",1.52533712105564e-13,2.82652622585168e-16,-14.013927465011,27.0124864819737,-5.61055686276471,"ACPP","acid phosphatase, prostate","55",TRUE
"A_23_P143348",1.65548898783881e-13,3.11639788286617e-16,-13.9697953266303,26.9168281867266,-3.77958823529412,"OVOL2","ovo like zinc finger 2","58495",TRUE
"A_23_P215111",1.66568954431982e-13,3.25601352662905e-16,-13.9500158324569,26.8738812404038,-7.16621568629412,"ATP6V0A4","ATPase H+ transporting V0 subunit a4","50617",TRUE
"A_23_P897",1.66568954431982e-13,3.28258131270745e-16,-13.9463503109122,26.8659173024407,-3.74739705882353,"C1orf116","chromosome 1 open reading frame 116","79098",TRUE
"A_24_P208436",1.82426885834512e-13,3.75606859474552e-16,-13.885670672984,26.7338515564708,-3.41697058823529,"PDE1A","phosphodiesterase 1A","5136",TRUE
"A_32_P39093",1.95622216693995e-13,4.08529248346187e-16,-13.8479256388148,26.6514829005866,-2.56535882352941,"ABHD17C","abhydrolase domain containing 17C","58489",TRUE
"A_23_P165624",1.98038185901506e-13,4.19399652476865e-16,13.8361428837316,26.6257356808675,4.45713725488235,"TNFAIP6","TNF alpha induced protein 6","7130",TRUE
"A_24_P925342",2.02326211561708e-13,4.39423701937558e-16,-13.8152334398329,26.5800047729147,-3.23188169935294,"MAN1C1","mannosidase alpha class 1C member 1","57134",TRUE
"A_23_P156025",2.02326211561708e-13,4.40382953572751e-16,-13.8142563725401,26.5778665706593,-4.92280392158824,"IRX2","iroquois homeobox 2","153572",TRUE
"A_24_P350589",2.11601021285908e-13,4.66794417214045e-16,-13.7881762729207,26.5207514196781,-3.03317647058824,"RNF150","ring finger protein 150","57484",TRUE
"A_32_P42964",2.30986177109515e-13,5.16352416622247e-16,-13.7430759794045,26.4217919051432,-3.34060947711765,"NUPR2","nuclear protein 2, transcriptional regulator","389493",TRUE
"A_23_P66311",2.60201206626706e-13,5.89313868764525e-16,-13.6841522942608,26.2921365924682,-4.08786344535294,"DNASE1","deoxyribonuclease 1","1773",TRUE
"A_23_P253301",2.80652279306725e-13,6.43887222363801e-16,-13.6447652159593,26.2052386543847,-2.35170588235294,"PFN2","profilin 2","5217",TRUE
"A_23_P17134",2.87799262035422e-13,6.68749388222789e-16,-13.6279400261327,26.1680614782075,-4.46296461252941,"MAL","mal, T-cell differentiation protein","4118",TRUE
"A_24_P182182",2.93821603847542e-13,6.91385619971862e-16,-13.6131682429322,26.1353936072778,-2.25029558823529,"SLC25A5","solute carrier family 25 member 5","292",TRUE
"A_23_P103601",3.08849761459154e-13,7.3880000552294e-16,-13.5837668381694,26.0702944416247,-3.50831932770588,"MAN1C1","mannosidase alpha class 1C member 1","57134",TRUE
"A_23_P259707",3.08849761459154e-13,7.44916772741062e-16,-13.5801150486935,26.0622015874813,-5.20559411764706,"PLPPR1","phospholipid phosphatase related 1","54886",TRUE
"A_23_P206626",3.1503376287798e-13,7.69098250452153e-16,-13.5659724686319,26.0308446308785,-3.90532661064706,"SCNN1G","sodium channel epithelial 1 gamma subunit","6340",TRUE
"A_24_P20954",3.78905244799268e-13,9.37397574657937e-16,-13.478589529605,25.8365653438622,-5.796503268,"TFAP2B","transcription factor AP-2 beta","7021",TRUE
"A_23_P334798",3.78905244799268e-13,9.47318836635619e-16,-13.4739512145309,25.8262272066034,-3.57968986923529,"LRRC2","leucine rich repeat containing 2","79442",TRUE
"A_23_P9086",3.990945213482e-13,1.00953376186673e-15,-13.4459508890386,25.7637632882557,-2.42581045752941,"ZDHHC2","zinc finger DHHC-type containing 2","51201",TRUE
"A_23_P133902",4.06750400030749e-13,1.04086372147406e-15,13.432511334121,25.7337482672725,2.61311764705882,"PSORS1C1","psoriasis susceptibility 1 candidate 1","170679",TRUE
"A_23_P115407",4.12203794750705e-13,1.06694317130602e-15,-13.4216357041581,25.7094433391823,-2.98388235294118,"GSTM1","glutathione S-transferase mu 1","2944",TRUE
"A_23_P9614",4.97927533127333e-13,1.30347521761082e-15,13.3338542909525,25.5127434458387,3.45513725494118,"NDUFA4L2","NDUFA4, mitochondrial complex associated like 2","56901",TRUE
"A_23_P43197",5.35484133790225e-13,1.41754138599683e-15,-13.297192443295,25.4303143446608,-6.27931764705883,"CALB1","calbindin 1","793",TRUE
"A_23_P133904",5.47694610868252e-13,1.46597475113274e-15,-13.2825289453026,25.3972995911336,-4.17227794117647,"MCCD1","mitochondrial coiled-coil domain 1","401250",TRUE
"A_23_P126706",5.6629931531105e-13,1.53242946669265e-15,-13.263195449505,25.3537302300145,-4.257732493,"ANGPTL1","angiopoietin like 1","9068",TRUE
"A_24_P159227",5.75396076670395e-13,1.59032259681298e-15,-13.2470386354168,25.3172846850302,-2.99480147058824,"PAK6","p21 (RAC1) activated kinase 6","56924",TRUE
"A_23_P215634",5.75396076670395e-13,1.59089449988285e-15,13.2468820441407,25.3169312998126,3.02217647058824,"IGFBP3","insulin like growth factor binding protein 3","3486",TRUE
"A_23_P29067",6.52617852320702e-13,1.82359832844481e-15,-13.1875157936229,25.1827408478501,-4.333194958,"TMPRSS2","transmembrane protease, serine 2","7113",TRUE
"A_23_P257176",6.9470787197471e-13,1.96164349989917e-15,-13.1558555010994,25.1109996100013,-3.29444796917647,"SLC4A9","solute carrier family 4 member 9","83697",TRUE
"A_23_P23029",7.48070836939123e-13,2.13432764230528e-15,-13.1193126365041,25.0280413007028,-4.67047189541177,"BSND","barttin CLCNK type accessory beta subunit","7809",TRUE
"A_23_P99879",7.58181338530028e-13,2.18547476839646e-15,-13.109067544296,25.004753727433,-6.20338970588235,"SLC12A1","solute carrier family 12 member 1","6557",TRUE
"A_23_P468",7.71485621510397e-13,2.24651675185391e-15,-13.0971564078969,24.9776628823554,-2.87816029411765,"CCDC181","coiled-coil domain containing 181","57821",TRUE
"A_23_P369701",7.95071196996314e-13,2.33858226071038e-15,-13.0798030840878,24.938162912765,-2.55367647058823,"ABHD17C","abhydrolase domain containing 17C","58489",TRUE
"A_23_P163235",8.0610982394802e-13,2.39476122768251e-15,-13.069553639041,24.9148154554875,-2.96143464047059,"CKMT1A","creatine kinase, mitochondrial 1A","548596",TRUE
"A_23_P154526",8.17314598266399e-13,2.45208803527186e-15,-13.0593449732507,24.891547982313,-3.226077591,"GRB14","growth factor receptor bound protein 14","2888",TRUE
"A_23_P214267",8.32154697665973e-13,2.53883912364716e-15,-13.0443511542943,24.8573508731683,-7.4868405462353,"ADGRF1","adhesion G protein-coupled receptor F1","266977",TRUE
"A_23_P79272",8.32154697665973e-13,2.5571098484632e-15,-13.0412600791536,24.8502974534488,-3.62523529411765,"PDE1A","phosphodiesterase 1A","5136",TRUE
"A_23_P423074",8.32154697665973e-13,2.57004068636176e-15,-13.0390860222111,24.8453358379585,-3.47709313723529,"FAM169A","family with sequence similarity 169 member A","26049",TRUE
"A_23_P139687",8.78028824159756e-13,2.73754501326355e-15,-13.0118921344699,24.7832246986668,-4.37682352941177,"ERP27","endoplasmic reticulum protein 27","121506",TRUE
"A_23_P81158",9.22442480881862e-13,2.90315152227658e-15,-12.986628637139,24.7254404281471,-3.90310588235294,"ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide","126",TRUE
"A_23_P127608",9.28501969277967e-13,2.94953269845345e-15,-12.979816730789,24.7098462436996,-3.72976797388235,"TMPRSS4","transmembrane protease, serine 4","56649",TRUE
"A_24_P320124",9.35891753861798e-13,3.00053536004871e-15,-12.9724512813756,24.6929783728561,-3.75693905229412,"NPY5R","neuropeptide Y receptor Y5","4889",TRUE
"A_23_P379054",9.51073413802842e-13,3.09794668237585e-15,-12.9587326277288,24.6615428348519,-3.29479052294118,"CLDN19","claudin 19","149461",TRUE
"A_23_P205355",1.17416186104227e-12,3.9025910435254e-15,-12.8598660664338,24.4343023827451,-4.33526218488235,"SERPINA5","serpin family A member 5","5104",TRUE
"A_23_P54681",1.18413739795204e-12,3.97057660352175e-15,-12.8524909717465,24.4173021513451,-3.13650653594118,"TOX3","TOX high mobility group box family member 3","27324",TRUE
"A_24_P915926",1.19256726405147e-12,4.03392068256717e-15,-12.8457345654239,24.4017220795324,-3.038009944,"COBLL1","cordon-bleu WH2 repeat protein like 1","22837",TRUE
"A_23_P87982",1.22411945179438e-12,4.17665322690006e-15,-12.8308994380637,24.3674926768738,-3.87118235294118,"ATP12A","ATPase H+/K+ transporting non-gastric alpha2 subunit","479",TRUE
"A_23_P370830",1.27547237433414e-12,4.38938372248644e-15,-12.8097235160897,24.3185852783435,-3.15792647058824,"KLHL14","kelch like family member 14","57565",TRUE
"A_23_P385861",1.433546012466e-12,5.01770620281941e-15,12.7528092561644,24.1868587446397,4.98635294117647,"CDCA2","cell division cycle associated 2","157313",TRUE
"A_23_P149529",1.47068836281667e-12,5.20621311006994e-15,-12.7371486048951,24.150541189913,-4.64723676470588,"TACSTD2","tumor-associated calcium signal transducer 2","4070",TRUE
"A_24_P602507",1.47068836281667e-12,5.23422824580319e-15,-12.7348707353184,24.1452561668717,-2.07446405229412,"HYKK","hydroxylysine kinase","123688",TRUE
"A_23_P318284",1.48996568727357e-12,5.34666197562727e-15,-12.7258525169705,24.1243260423311,-2.04177843135294,"GPD1L","glycerol-3-phosphate dehydrogenase 1-like","23171",TRUE
"A_32_P118397",1.53526665682829e-12,5.64469474979518e-15,-12.7028541060692,24.0709033268255,-5.76710049023529,"HEPACAM2","HEPACAM family member 2","253012",TRUE
"A_23_P216610",1.58189552834827e-12,5.86266358526624e-15,-12.6868061089302,24.0335861518618,-2.20990168064706,"SUSD1","sushi domain containing 1","64420",TRUE
"A_23_P105619",1.7780280928803e-12,6.6418485733219e-15,-12.6340428618572,23.9106641004539,-2.17528692811765,"TMEM116","transmembrane protein 116","89894",TRUE
"A_23_P432573",1.78492253276975e-12,6.7911284870485e-15,-12.6246594792497,23.8887668666364,-3.44660784311765,"MRGPRF","MAS related GPR family member F","116535",TRUE
"A_24_P529584",1.82363426395912e-12,7.02676888577697e-15,-12.6102681385951,23.8551613189968,-3.30662980858824,"LINC01606","long intergenic non-protein coding RNA 1606","100507651",TRUE
"A_24_P388528",2.05848367342762e-12,8.11332467319552e-15,-12.5497202679362,23.7134870779288,-2.39495686276471,"ST6GAL1","ST6 beta-galactoside alpha-2,6-sialyltransferase 1","6480",TRUE
"A_23_P148249",2.1829824575022e-12,8.66823435975048e-15,-12.521922744633,23.6482885600014,-2.77541176470588,"THSD4","thrombospondin type 1 domain containing 4","79875",TRUE
"A_24_P387875",2.22893423361303e-12,8.91626142041804e-15,-12.5100808777081,23.6204838602385,-5.17641176470588,"KCNJ10","potassium voltage-gated channel subfamily J member 10","3766",TRUE
"A_23_P158725",2.39731581000126e-12,9.73085422025338e-15,12.4734291323024,23.5343124268981,2.49863398688235,"SLC16A3","solute carrier family 16 member 3","9123",TRUE
"A_24_P2361",2.40023896995998e-12,9.81331892536141e-15,-12.4698948513788,23.525993976726,-3.08736134452941,"CLCNKA","chloride voltage-gated channel Ka","1187",TRUE
"A_23_P153964",2.46929863503923e-12,1.02083330845956e-14,12.4533753715427,23.4870918243252,3.7553464052353,"INHBB","inhibin beta B subunit","3625",TRUE
"A_23_P121374",2.46929863503923e-12,1.02409290999627e-14,12.4520414869046,23.4839491055326,3.12,"SEMA5B","semaphorin 5B","54437",TRUE
"A_23_P71170",2.63781274448699e-12,1.11725700101808e-14,-12.4156456768854,23.3981105377247,-2.78720441176471,"TRPV6","transient receptor potential cation channel subfamily V member 6","55503",TRUE
"A_23_P30254",2.66690148627792e-12,1.13742195279222e-14,12.4081767512202,23.3804743382971,2.72217647058824,"PLK2","polo like kinase 2","10769",TRUE
"A_32_P84242",2.82300285226839e-12,1.21230194844163e-14,-12.3815783480883,23.3176101897216,-3.66329411764706,"FAM169A","family with sequence similarity 169 member A","26049",TRUE
"A_23_P27013",2.91176198488062e-12,1.25898291598756e-14,-12.3658326230598,23.2803531837519,-3.09406470588235,"HOXB9","homeobox B9","3219",TRUE
"A_23_P105803",2.97713538458338e-12,1.30476255162928e-14,-12.3509595441329,23.2451318251109,-4.8558980392353,"FGF9","fibroblast growth factor 9","2254",TRUE
"A_23_P117104",3.13376354594115e-12,1.39184156549536e-14,-12.3240847262621,23.181416857151,-2.94186601311765,"AQP5","aquaporin 5","362",TRUE
"A_32_P169505",3.15708809332581e-12,1.41148711743492e-14,-12.3182591894692,23.1675934164388,-3.93695985058824,"KIAA2022","KIAA2022","340533",TRUE
"A_24_P366787",3.20294848879567e-12,1.45083259978391e-14,-12.3068369035038,23.140476773955,-3.3453488562353,"LINC00982","long intergenic non-protein coding RNA 982","440556",TRUE
"A_23_P132956",3.98253002246407e-12,1.81567196153283e-14,-12.2138900176171,22.9191957220347,-4.26817058823529,"UCHL1","ubiquitin C-terminal hydrolase L1","7345",TRUE
"A_23_P132027",4.02401269304053e-12,1.84642031917855e-14,12.2069492863623,22.9026270701526,3.01981176470588,"SPAG4","sperm associated antigen 4","6676",TRUE
"A_23_P170901",4.47832675640393e-12,2.08628323117714e-14,-12.1565432274209,22.7821129473685,-2.22141176470588,"PACRG","PARK2 coregulated","135138",TRUE
"A_23_P3592",4.49464405421318e-12,2.12437692697932e-14,12.1490864730515,22.7642569570629,3.19396862747059,"HSF4","heat shock transcription factor 4","3299",TRUE
"A_23_P381945",4.49464405421318e-12,2.12847135928091e-14,-12.1482931350504,22.7623568015055,-3.16529411764706,"KRT7","keratin 7","3855",TRUE
"A_24_P208442",4.6591838594385e-12,2.24354174264801e-14,-12.1266121260547,22.7103962114577,-3.38556993464706,"PDE1A","phosphodiesterase 1A","5136",TRUE
"A_23_P98446",4.67385997783177e-12,2.2958250964701e-14,-12.1171335808591,22.6876608553667,-2.08888235294118,"SC5D","sterol-C5-desaturase","6309",TRUE
"A_24_P190007",5.1746853644538e-12,2.57227432964495e-14,-12.0704182399326,22.5754386779997,-3.507830719,"GP2","glycoprotein 2","2813",TRUE
"A_23_P149121",5.25763613719577e-12,2.62897271405165e-14,-12.0614727467255,22.5539170105182,-2.68317058823529,"DIRAS3","DIRAS family GTPase 3","9077",TRUE
"A_24_P114249",5.39978078953996e-12,2.73181450614999e-14,-12.0457384712393,22.5160372127878,-2.97671568629412,"GALNT3","polypeptide N-acetylgalactosaminyltransferase 3","2591",TRUE
"A_24_P415928",5.42436042397227e-12,2.7602045807024e-14,-12.041501348094,22.5058309668634,-4.26796078429412,"ESRRB","estrogen related receptor beta","2103",TRUE
"A_23_P212869",5.47514921370712e-12,2.80215295954185e-14,-12.0353214309936,22.4909407966809,-3.22230637258824,"GABRA2","gamma-aminobutyric acid type A receptor alpha2 subunit","2555",TRUE
"A_23_P137057",5.5407466551341e-12,2.85202266206385e-14,-12.0280962384166,22.473525795356,-2.12388562094118,"SLC25A5","solute carrier family 25 member 5","292",TRUE
"A_23_P24332",5.8937005984542e-12,3.05103625309706e-14,-12.0004931426587,22.4069310536578,-5.11895196082353,"MUC15","mucin 15, cell surface associated","143662",TRUE
"A_23_P49448",6.96871307041815e-12,3.62804345392085e-14,-11.9297874137671,22.2358948026552,-3.62156111111765,"FA2H","fatty acid 2-hydroxylase","79152",TRUE
"A_23_P250914",7.28271295878818e-12,3.81293872187863e-14,-11.9095436635703,22.1868052873621,-5.41010364141176,"ATP6V1C2","ATPase H+ transporting V1 subunit C2","245973",TRUE
"A_23_P318938",7.28936460022385e-12,3.83786182551935e-14,-11.9068918007884,22.1803707600403,-3.76851400564706,"TMEM52B","transmembrane protein 52B","120939",TRUE
"A_23_P202918",7.65282421495473e-12,4.05173350988838e-14,-11.8848327159231,22.1268105662092,-4.39493839870588,"KCNJ1","potassium voltage-gated channel subfamily J member 1","3758",TRUE
"A_24_P302584",8.32506092526394e-12,4.43213138264831e-14,11.8483846247787,22.0381738656654,3.41635882352941,"SOX11","SRY-box 11","6664",TRUE
"A_23_P384825",8.55934192944183e-12,4.60721093325447e-14,-11.8326694719539,21.9999031098403,-2.57357647058824,"SLC25A5-AS1","SLC25A5 antisense RNA 1","100303728",TRUE
"A_23_P167121",9.06863451971275e-12,4.9220908725431e-14,-11.8058814600062,21.9345922320627,-4.00053774511765,"GABRA2","gamma-aminobutyric acid type A receptor alpha2 subunit","2555",TRUE
"A_23_P69699",9.06863451971275e-12,4.93469435304094e-14,-11.804845964887,21.9320657393303,-2.86466143788235,"NPY1R","neuropeptide Y receptor Y1","4886",TRUE
"A_23_P79545",9.60893917756416e-12,5.30369637503496e-14,-11.7756686250426,21.8608184192921,-2.35768496729412,"SUCLG1","succinate-CoA ligase alpha subunit","8802",TRUE
"A_24_P156113",9.60893917756416e-12,5.31349069175264e-14,11.7749226978241,21.8589954951112,2.40617647058824,"EHD2","EH domain containing 2","30846",TRUE
"A_24_P105191",9.66870718698659e-12,5.37497987628821e-14,-11.7702715483082,21.8476271970394,-6.07922058823529,"HS6ST2","heparan sulfate 6-O-sulfotransferase 2","90161",TRUE
"A_23_P46928",9.76075471514026e-12,5.45486027377095e-14,11.7643096886008,21.8330511157953,2.14265662935294,"PFKP","phosphofructokinase, platelet","5214",TRUE
"A_24_P182183",1.00448285848541e-11,5.67270747776924e-14,-11.7484927074724,21.7943577238862,-2.16824820258824,"SLC25A5","solute carrier family 25 member 5","292",TRUE
"A_24_P236091",1.02555656937262e-11,5.82188416638966e-14,11.7380151699328,21.7687082044364,3.13682352941177,"ENO2","enolase 2","2026",TRUE
"A_32_P24939",1.09587978171463e-11,6.28556260469298e-14,-11.7071158050909,21.6929809457714,-3.59012899158824,"BMPR1B","bone morphogenetic protein receptor type 1B","658",TRUE
"A_24_P316257",1.11637865502341e-11,6.46880978409354e-14,-11.6955409845161,21.6645813483953,-2.26916323529412,"NHLRC4","NHL repeat containing 4","283948",TRUE
"A_23_P130343",1.12880065660006e-11,6.57399052905499e-14,-11.6890474296617,21.6486412480759,-2.34890196076471,"KCTD1","potassium channel tetramerization domain containing 1","284252",TRUE
"A_24_P307626",1.13484834673927e-11,6.64259135834798e-14,-11.6848690817961,21.6383814806354,-2.28041176470588,"ATP1A4","ATPase Na+/K+ transporting subunit alpha 4","480",TRUE
"A_23_P210253",1.1563058269613e-11,6.80219911148477e-14,11.6753156370349,21.6149147301683,2.30672205882353,"DGKD","diacylglycerol kinase delta","8527",TRUE
